Date,Country,Admin 2,Admin 3,Phase 1,Phase 2,Phase 3 to 5
,Niger,              Agadez,Bilma,14468,5167,1033
,Niger,              Agadez,Ingall,46055,10168,3589
,Niger,              Agadez,Iférouane,31684,5658,377
,Niger,              Agadez,Tchirozérine,128247,17488,0
,Niger,               Zinder,Dungass,285453,118259,4078
,Niger,               Zinder,Goure,290884,83110,3778
,Niger,               Zinder,Kantché,391008,69001,0
,Niger,               Zinder,Magaria,519309,139814,6658
,Niger,               Zinder,Mirriah,438625,146208,0
,Niger,               Zinder,Takaya,216777,58363,2779
,Niger,               Zinder,Takeita,270208,14221,0
,Niger,               Zinder,Tanout,390691,103854,0
,Niger,               Zinder,Tarka,76694,33345,1112
,Niger,               Zinder,Tesker,38511,4279,0
,Niger,            Tillabery,Abala,131356,31592,3325
,Niger,            Tillabery,Fillingué,279238,70693,3535
,Niger,            Tillabery,Banibangou,57863,16973,2315
,Niger,            Tillabery,Ouallam,322594,82716,8272
,Niger,            Tillabery,Tillabéri,166358,27400,1957
,Niger,            Tillabery,Téra,329323,58116,0
,Niger,            Tillabery,Bankilaré,84133,12718,978
,Niger,            Tillabery,Gothey,236108,41666,0
,Niger,            Tillabery,Say,180124,22263,0
,Niger,            Tillabery,Torodi,166248,44192,0
,Niger,            Tillabery,Kollo,455870,80448,0
,Niger,            Tillabery,Balleyara,96298,25926,1235
,Niger,            Tillabery,Ayorou,51919,13144,657
,Niger,               Dosso,Boboye,212495,72772,5822
,Niger,               Dosso,Dioundou,93475,30316,2526
,Niger,               Dosso,Dogon doutchi,300462,115893,12877
,Niger,               Dosso,Dosso,403009,147581,17029
,Niger,               Dosso,Falmèye,59504,41653,17851
,Niger,               Dosso,Gaya,229145,69347,3015
,Niger,               Dosso,Loga,91032,64734,46527
,Niger,               Dosso,Tibiri,227148,74679,9335
,Niger,              Maradi,Aguié,229620,34018,19844
,Niger,              Maradi,Bermo,47590,10843,1807
,Niger,              Maradi,Dakoro,530336,138033,58119
,Niger,              Maradi,Gazaoua,146149,27750,11100
,Niger,              Maradi,Guidan Roumdji,464713,96564,42247
,Niger,              Maradi,Madarounfa,429327,67244,20690
,Niger,              Maradi,Mayahi,520095,70630,51367
,Niger,              Maradi,Tessaoua,469623,83224,41612
,Sénégal,Louga,Kebemer,240 996,27 386,5477
,Sénégal,Louga,Louga,351 102,39 450,3945
,Sénégal,Louga,Linguere,217 340,25 569,12785
,Sénégal,Matam,Kanel,214 724,30 314,7 578
,Sénégal,Matam,Matam,203 845,58 241,29 121
,Sénégal,Matam,Ranerou,39 843,10 916,3 821
,Sénégal,Saint Louis,Saint Louis ,287 379,21 866,3 124
,Sénégal,Saint Louis,Dagana,226 624,25 463,2 546
,Sénégal,Saint Louis,Podor,292 949,78 120,19 530
,Sénégal,Kaffrine,Mbirkilane,96 859,10 883,1 088
,Sénégal,Kaffrine,Kaffrine,205 432,15 631,2 233
,Sénégal,Kaffrine,Koungheul,165 187,7 029,3 515
,Sénégal,Kaffrine,Malem Hoddar,98 729,2 036,1 018
,Sénégal,Kaolack,Nioro,352 940,22 770,3 795
,Sénégal,Kaolack,Kaolack,488 501,25 984,5 197
,Sénégal,Kaolack,Guinguineo,117 571,3 674,1 225
,Sénégal,Tambacounda,Bakel,128 044,17 867,2 978
,Sénégal,Tambacounda,Tambacounda,243 770,64 150,12 830
,Sénégal,Tambacounda,Goudiry,86 194,24 627,12 313
,Sénégal,Tambacounda,Koumpentoum,93 637,27 540,16 524
,Sénégal,Kédougou,Kédougou,71 231,9 218,3 352
,Sénégal,Kédougou,Salémata,16 518,5 899,1 180
,Sénégal,Kédougou,Saraya,35 187,16 240,2 707
,Sénégal,Kolda,Kolda,222 133,26 133,13 067
,Sénégal,Kolda,MYF,121 759,22 005,2 934
,Sénégal,Kolda,Vélingara,257 213,29 565,8 869
,Sénégal,Sédhiou,Bounkiling,138 357,15 546,1 555
,Sénégal,Sédhiou,Goudomp,98 352,60 012,8 335
,Sénégal,Sédhiou,Sédhiou,138 986,19 393,3 232
,Sénégal,Ziginchor,Bignona,217 375,37 571,13 418
,Sénégal,Ziginchor,Oussouye,48 790,2 054,514
,Sénégal,Ziginchor,Ziguinchor,218 959,39 571,5 276
,Sénégal,Dakar,Rufisque,458 445,57 306,5210
,Sénégal,Diourbel,Bambey,225995,85942,6366
,Sénégal,Diourbel,Diourbel,216 658,65 567,2851
,Sénégal,Diourbel,Mbacke,810 335,167 996,9882
,Sénégal,Fatick,Fatick,296 601,61 490,3617
,Sénégal,Fatick,Gossas,82665,18370,1021
,Sénégal,Fatick,Foundioungne,247 294,47 671,2979
,Sénégal,Thiès,Mbour,593 410,105 966,7064
,Sénégal,Thiès,Thiès,634 785,63 479,7053
,Sénégal,Thiès,Tivaouane,425033,47757,4776
,Tchad,,,,,
